Student,Region,Campus,Program,Starting/Readmitted Cohort,Graduating Cohort,Testing Cohort,Attempt Number,Result
21,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024SPQ,2024SUQ,1,1
22,Lehigh Valley Region,SCR,BSN.PRE.BSN,2023WIQ,2024SUQ,2025SPQ,1,1
23,Connecticut Valley Region,WTB,ADN.BRDG.NE.AS,2024FAQ,2025FAQ,2025WIQ,1,1
24,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,0
24,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024WIQ,2025SUQ,2,1
25,Connecticut Valley Region,NHV,ADN.2YR.AS,2022WIQ,2025SPQ,2025SUQ,1,1
26,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
27,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
28,Greater Boston Region,WOR,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
29,Connecticut Valley Region,NHV,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
30,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2025SPQ,2025SPQ,1,1
31,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
32,Hudson Valley Region,SCH,ADN.2YR.AS,2022SPQ,2024SUQ,2024FAQ,1,1
33,Hudson Valley Region,ALB,ADN.BRDG.AS,2023SPQ,2025SPQ,2025SUQ,1,1
34,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2024WIQ,2025SPQ,1,1
35,Hudson Valley Region,POU,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
36,Hudson Valley Region,KIN,ADN.ADV.AAS,2023SUQ,2024WIQ,2025SPQ,1,1
37,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
38,Lehigh Valley Region,SCR,ADN.2YR.AS,2024FAQ,2025FAQ,2025WIQ,1,1
39,Greater Boston Region,BOS,ADN.BRDG.AAS,2024FAQ,2025SUQ,2025SUQ,1,1
40,Greater Boston Region,BOS,BSN.PRE.BSN,2024SUQ,2025FAQ,2025WIQ,1,1
41,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023FAQ,2025SPQ,2025SPQ,1,1
42,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
43,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024SUQ,2024FAQ,1,1
44,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025SUQ,2025FAQ,1,0
45,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,0
45,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,2,1
46,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
47,Lehigh Valley Region,ALL,ADN.2YR.AS,2024SPQ,2024FAQ,2024WIQ,1,0
47,Lehigh Valley Region,ALL,ADN.2YR.AS,2024SPQ,2024FAQ,2025FAQ,2,1
48,Greater Boston Region,BOS,ADN.BRDG.AAS,2020SPQ,2021SUQ,2024SPQ,5,1
49,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,0
49,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2024SUQ,2024WIQ,2,1
50,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023SPQ,2024SUQ,2024FAQ,1,1
51,Greater Boston Region,BOS,BSN.PRE.BSN,2023FAQ,2025WIQ,2025WIQ,1,1
52,Greater Boston Region,WOR,BSN.PRE.BSN,2022FAQ,2025SPQ,2025SUQ,1,1
53,Lehigh Valley Region,REA,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,1
54,Hudson Valley Region,POU,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
55,Hudson Valley Region,ALB,ADN.BRDG.AS,2023FAQ,2024FAQ,2024WIQ,1,1
56,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2023WIQ,2024SPQ,1,1
57,Hudson Valley Region,ALB,ADN.2YR.AS,2024SUQ,2025SUQ,2025FAQ,1,1
58,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SUQ,2025FAQ,2025FAQ,1,1
59,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2024SPQ,2024SUQ,1,1
60,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
61,Greater Boston Region,BOS,BSN.PRE.BSN,2021SPQ,2023WIQ,2024SPQ,1,1
62,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SPQ,2023WIQ,2024SUQ,1,0
62,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SPQ,2023WIQ,2024SUQ,2,1
63,Greater Boston Region,BOS,BSN.PRE.BSN,2022SPQ,2024SPQ,2024SUQ,1,1
64,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SUQ,2025SPQ,2025SUQ,1,0
64,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SUQ,2025SPQ,2025FAQ,2,1
65,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024FAQ,2024FAQ,1,1
66,Lehigh Valley Region,BTH,ADN.BRDG.AS,2022FAQ,2023WIQ,2024SPQ,1,1
67,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
68,Hudson Valley Region,ALB,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SUQ,1,1
69,Hudson Valley Region,NEW,ADN.BRDG.AS,2023SUQ,2024FAQ,2024WIQ,1,0
69,Hudson Valley Region,NEW,ADN.BRDG.AS,2023SUQ,2024FAQ,2024WIQ,2,1
70,Lehigh Valley Region,REA,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SPQ,1,1
71,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022WIQ,2024WIQ,2025SUQ,1,1
72,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
73,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2024SPQ,2024SUQ,1,1
74,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
75,Hudson Valley Region,ALB,BSN.PRE.BSN,2022FAQ,2023WIQ,2024SPQ,1,1
76,Hudson Valley Region,ALB,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
77,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SPQ,2025SUQ,1,1
78,Hudson Valley Region,KIN,ADN.2YR.AAS,2023SPQ,2025FAQ,2025WIQ,1,1
79,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022WIQ,2024WIQ,2025SPQ,1,1
80,Hudson Valley Region,POU,ADN.2YR.AS,2024WIQ,2025SUQ,2025FAQ,1,1
81,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,1
82,Lehigh Valley Region,REA,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SUQ,1,0
83,Hudson Valley Region,ALB,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
84,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025SUQ,2025FAQ,1,1
85,Hudson Valley Region,SCH,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,1,1
86,Hudson Valley Region,SCH,ADN.BRDG.AS,2024FAQ,2025FAQ,2025WIQ,1,1
87,Lehigh Valley Region,REA,ADN.BRDG.AS,2024SUQ,2025FAQ,2025WIQ,1,1
88,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024FAQ,1,0
88,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024FAQ,2,0
88,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024WIQ,3,1
89,Connecticut Valley Region,NHV,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
90,Lehigh Valley Region,BTH,ADN.2YR.AS,2024SUQ,2025FAQ,2025WIQ,1,1
91,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,0
92,Greater Boston Region,WOR,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
93,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2024FAQ,2024WIQ,1,0
93,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2024FAQ,2025SPQ,2,1
94,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022WIQ,2024FAQ,2024WIQ,1,1
95,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
96,Lehigh Valley Region,ALL,ADN.BRDG.AS,2024SPQ,2025SUQ,2025FAQ,1,1
97,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024SUQ,2024FAQ,1,1
98,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
99,Lehigh Valley Region,BTH,ADN.BRDG.AS,2022FAQ,2023WIQ,2024SPQ,1,1
100,Greater Boston Region,BOS,BSN.PRE.BSN,2023FAQ,2025FAQ,2025WIQ,1,1
101,Lehigh Valley Region,REA,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
102,Lehigh Valley Region,REA,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
103,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024SUQ,2024FAQ,1,0
103,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024SUQ,2024WIQ,2,0
104,Greater Boston Region,LOW,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
105,Hudson Valley Region,KIN,ADN.ADV.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
106,Hudson Valley Region,ALB,ADN.BRDG.AS,2023FAQ,2025SPQ,2025SUQ,1,1
107,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
108,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
109,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023FAQ,2024FAQ,2024WIQ,1,1
110,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021SUQ,2023WIQ,2024SPQ,1,1
111,Hudson Valley Region,ALB,BSN.PRE.BSN,2021FAQ,2024SUQ,2024FAQ,1,1
112,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SUQ,2024FAQ,2,1
113,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
114,Lehigh Valley Region,BTH,ADN.BRDG.AS,2022FAQ,2023WIQ,2024SPQ,1,1
115,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2025SPQ,2025SUQ,1,1
116,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,0
116,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SUQ,2,0
116,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024WIQ,3,0
116,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2025WIQ,4,0
117,Hudson Valley Region,KIN,ADN.2YR.AAS,2022WIQ,2024FAQ,2024WIQ,1,1
118,Hudson Valley Region,SCH,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
119,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
120,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
121,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SUQ,2025WIQ,2025WIQ,1,1
122,Lehigh Valley Region,REA,ADN.BRDG.AS,2023SUQ,2024WIQ,2024WIQ,1,1
123,Lehigh Valley Region,SCR,ADN.2YR.AS,2022WIQ,2025SUQ,2025FAQ,1,0
123,Lehigh Valley Region,SCR,ADN.2YR.AS,2022WIQ,2025SUQ,2025WIQ,2,1
124,Hudson Valley Region,KIN,ADN.ADV.AAS,2024SUQ,2025WIQ,2025WIQ,1,1
125,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
126,Hudson Valley Region,ALB,ADN.2YR.AS,2022FAQ,2024SPQ,2024SUQ,1,1
127,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023FAQ,2024SPQ,1,1
128,Hudson Valley Region,ALB,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
129,Hudson Valley Region,KIN,ADN.2YR.AAS,2022FAQ,2024SUQ,2024FAQ,1,1
130,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025SUQ,1,0
130,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,2,0
131,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
132,Lehigh Valley Region,REA,ADN.BRDG.AS,2024SPQ,2025SUQ,2025FAQ,1,1
133,Hudson Valley Region,NEW,ADN.BRDG.AS,2023SUQ,2024SPQ,2024SUQ,1,1
134,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2025SUQ,2025FAQ,1,0
135,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023FAQ,2024SUQ,2,0
136,Lehigh Valley Region,SCR,ADN.BRDG.AS,2022WIQ,2024FAQ,2024WIQ,1,1
137,Connecticut Valley Region,WTB,ADN.2YR.AS,2023SUQ,2025FAQ,2025WIQ,1,1
138,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,0
139,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2024SUQ,2025FAQ,2025WIQ,2,1
140,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024FAQ,2024WIQ,1,1
141,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
142,Lehigh Valley Region,BTH,ADN.BRDG.AS,2024SUQ,2025FAQ,2025WIQ,1,1
143,Lehigh Valley Region,REA,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SUQ,1,1
144,Hudson Valley Region,ALB,BSN.PRE.BSN,2021FAQ,2024SUQ,2024FAQ,1,1
145,Hudson Valley Region,KIN,ADN.2YR.AAS,2023SPQ,2025SUQ,2025FAQ,1,1
146,Greater Boston Region,WOR,BSN.PRE.BSN,2023FAQ,2025FAQ,2025WIQ,1,0
146,Greater Boston Region,WOR,BSN.PRE.BSN,2023FAQ,2025FAQ,2025WIQ,2,1
147,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
148,Greater Boston Region,BOS,BSN.PRE.BSN,2021SPQ,2023WIQ,2024SPQ,1,1
149,Lehigh Valley Region,ALL,ADN.2YR.AS,2024SUQ,2024FAQ,2024WIQ,1,1
150,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SPQ,1,0
150,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SUQ,2,0
151,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SUQ,2024FAQ,1,1
152,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2024SUQ,2025SPQ,1,0
153,Greater Boston Region,WOR,ADN.BRDG.AAS,2022WIQ,2023WIQ,2024SPQ,1,1
154,Greater Boston Region,BOS,BSN.PRE.BSN,2023WIQ,2024SPQ,2024FAQ,1,1
155,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023WIQ,2025FAQ,2025WIQ,1,0
155,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023WIQ,2025FAQ,2025WIQ,2,1
156,Hudson Valley Region,SCH,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
157,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,0
157,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025FAQ,2,1
158,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2025SPQ,2025SUQ,1,1
159,Lehigh Valley Region,SCR,ADN.BRDG.AS,2022FAQ,2023WIQ,2024SPQ,1,1
160,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2025SUQ,2025SUQ,1,1
161,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
162,Lehigh Valley Region,REA,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
163,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2024SUQ,2024FAQ,1,1
164,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
165,Greater Boston Region,WOR,BSN.PRE.BSN,2022SPQ,2024FAQ,2024WIQ,1,1
166,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021WIQ,2024SUQ,2024FAQ,1,1
167,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
168,Hudson Valley Region,KIN,BSN.PRE.BSN,2022WIQ,2024FAQ,2024WIQ,1,1
169,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SPQ,2024FAQ,2024WIQ,1,1
170,Connecticut Valley Region,NHV,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,1
171,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2024SPQ,2024SUQ,1,1
172,Hudson Valley Region,NEW,ADN.BRDG.AS,2023SUQ,2025SPQ,2025SUQ,1,1
173,Lehigh Valley Region,ALL,ADN.2YR.AS,2023FAQ,2025SPQ,2025SUQ,1,1
174,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
175,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2025SPQ,2025SUQ,1,0
175,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2025SPQ,2025SUQ,2,0
176,Lehigh Valley Region,BTH,ADN.BRDG.AS,2024WIQ,2024WIQ,2025SPQ,1,1
177,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024FAQ,2024WIQ,1,1
178,Lehigh Valley Region,SCR,ADN.2YR.AS,2021WIQ,2024FAQ,2024FAQ,1,1
179,Hudson Valley Region,ALB,BSN.PRE.BSN,2022SPQ,2024SUQ,2024FAQ,1,1
180,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024FAQ,2024WIQ,1,1
181,Greater Boston Region,LOW,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
182,Hudson Valley Region,POU,ADN.2YR.AS,2022SUQ,2023WIQ,2024SPQ,1,1
183,Greater Boston Region,BOS,BSN.PRE.BSN,2023SUQ,2025FAQ,2025WIQ,1,0
184,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024FAQ,2024WIQ,1,1
185,Greater Boston Region,BOS,BSN.PRE.BSN,2021SUQ,2024SPQ,2024SUQ,1,1
186,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2023FAQ,2024SUQ,1,1
187,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2025SPQ,2025SUQ,1,1
188,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
189,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
190,Greater Boston Region,LOW,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
191,Hudson Valley Region,ALB,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
192,Lehigh Valley Region,REA,ADN.BRDG.AS,2023SPQ,2024WIQ,2024WIQ,1,1
193,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
194,Greater Boston Region,WOR,ADN.BRDG.AAS,2023WIQ,2024FAQ,2024WIQ,1,0
194,Greater Boston Region,WOR,ADN.BRDG.AAS,2023WIQ,2024FAQ,2025SPQ,2,0
195,Lehigh Valley Region,REA,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,1
196,Lehigh Valley Region,REA,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
197,Lehigh Valley Region,ALL,ADN.BRDG.AS,2024SPQ,2025SUQ,2025FAQ,1,1
198,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
199,Greater Boston Region,WOR,BSN.PRE.BSN,2021WIQ,2024WIQ,2025SPQ,1,1
200,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SPQ,2024WIQ,2025SPQ,1,1
201,Lehigh Valley Region,ALL,ADN.BRDG.AS,2024SUQ,2025SUQ,2025FAQ,1,1
202,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SPQ,1,1
203,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
204,Connecticut Valley Region,NHV,ADN.2YR.AS,2023FAQ,2025WIQ,2025WIQ,1,0
205,Connecticut Valley Region,NHV,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,1
206,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2024WIQ,2025FAQ,2025WIQ,1,1
207,Lehigh Valley Region,ALL,ADN.2YR.AS,2025SPQ,2025SPQ,2025SPQ,1,1
208,Greater Boston Region,BOS,BSN.PRE.BSN,2024WIQ,2025SUQ,2025FAQ,1,1
209,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,1
210,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024SUQ,2024FAQ,1,1
211,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SPQ,2025FAQ,2025WIQ,1,0
212,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024SUQ,2024FAQ,1,0
212,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024SUQ,2024WIQ,2,0
212,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024SUQ,2025SUQ,3,1
213,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,0
214,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2024WIQ,2025SPQ,1,1
215,Hudson Valley Region,SCH,ADN.2YR.AS,2023FAQ,2025SUQ,2025SUQ,1,1
216,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
217,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2025SUQ,2025SUQ,1,1
218,Lehigh Valley Region,SCR,ADN.2YR.AS,2021FAQ,2023FAQ,2024SPQ,1,1
219,Greater Boston Region,WOR,BSN.PRE.BSN,2024SPQ,2025SUQ,2025FAQ,1,1
220,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2024SPQ,2024SUQ,1,1
221,Lehigh Valley Region,BTH,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SUQ,1,1
222,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2022WIQ,2024SPQ,2024SUQ,1,1
223,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2024SPQ,2024SPQ,1,1
224,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
225,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
226,Hudson Valley Region,NEW,ADN.BRDG.AS,2024SPQ,2025SUQ,2025FAQ,1,1
227,Greater Boston Region,WOR,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
228,Hudson Valley Region,SCH,ADN.2YR.AS,2022SUQ,2025SPQ,2025SUQ,1,1
229,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
230,Greater Boston Region,WOR,BSN.PRE.BSN,2022SUQ,2024FAQ,2024WIQ,1,1
231,Greater Boston Region,SPR,ADN.BRDG.AAS,2024FAQ,2025FAQ,2025WIQ,1,1
232,Hudson Valley Region,SCH,ADN.BRDG.AS,2023FAQ,2024WIQ,2025SPQ,1,1
233,Lehigh Valley Region,REA,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,1
234,Hudson Valley Region,KIN,ADN.2YR.AAS,2022FAQ,2024SUQ,2024FAQ,1,1
235,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024FAQ,2024WIQ,1,1
236,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
